n,t,r,θ,u,v,γ
1,0.0,1.0,0.0,0.0,1.0,0.00010313027790907687
2,0.0019995426994137144,1.0000000533936646,0.0019998117047494374,7.444324627238342e-5,1.000263838646965,0.46766507287626424
3,0.007993353724152996,1.0000019054053035,0.007997361846723014,0.0005487671914561446,1.0009811847922596,0.5490683100088143
4,0.01796699345846342,1.0000108184891983,0.017986778282227542,0.0012347080444865281,1.002198109428765,0.49937717626203343
5,0.031896434530637396,1.0000355579226061,0.0319581899250403,0.0023377034459899507,1.0038630873264003,0.5441649705779475
6,0.04974811969705706,1.0000899095166433,0.049896687306362486,0.003755849430718567,1.0059850514467519,0.5212651315012344
7,0.07147904268453331,1.000192116306342,0.07178215902494803,0.005689198719435791,1.0084994763282467,0.5626042800867255
8,0.09703685179618549,1.0003679245858266,0.09758727560798093,0.008086031838675954,1.011402352568724,0.5489715433958883
9,0.12635997603126392,1.0006488647111929,0.12727718960457257,0.011138583312122773,1.0145994085926373,0.5950030041564535
10,0.15937777341508408,1.0010773818031622,0.16080600611619228,0.014851463747946181,1.0180703188665265,0.5856101792135014
11,0.1960107011817307,1.0017024855501995,0.19811686973440246,0.019368771501374452,1.0216936419746425,0.6415617893411504
12,0.23617050739954837,1.0025894859183955,0.23913482411873843,0.02488767112942373,1.0253286949549563,0.676716363225667
13,0.27976044357777496,1.0038137812950256,0.2837656690936578,0.03134942026341953,1.0288981522415486,0.6767109570508052
14,0.32667549774212934,1.0054543456484988,0.3319018643228685,0.03865783785759227,1.0325519873240958,0.6766979906818118
15,0.3768026474178565,1.0076036658641152,0.38340813749785224,0.04727725782163925,1.0356552417688767,0.7887938479941569
16,0.43002113191076763,1.0103822137441358,0.4381071800458777,0.05719083910317494,1.0383131953419507,0.7695232066581569
17,0.4862027432303311,1.013900033327109,0.49580352265110383,0.06823550022175155,1.0402079774788906,0.8995933912429488
18,0.5452121349539494,1.0183010456629615,0.5562403735528096,0.0810199407817833,1.0408387357945974,0.9448111705626872
19,0.6069071482883484,1.0237127660479595,0.6191361042549949,0.09445829483029793,1.0406579817658943,0.9448084586505191
20,0.6711391545425605,1.030254444584568,0.6841912221176462,0.10939330139617498,1.0390870975626967,1.0923702354551996
21,0.7377534131874601,1.0380645654001346,0.7510203852314583,0.1250816494855068,1.035587186460882,1.0923681822772164
22,0.806589444639252,1.0472478063887558,0.819253157393465,0.14184899317370883,1.030745992730627,1.2811720407821257
23,0.8774814168688436,1.0579134413419693,0.888412975489759,0.1589535859532773,1.0225973058665798,1.2811704610373802
24,0.9502585449057315,1.0701175242675718,0.9581156537176417,0.17639010363213467,1.015167597049739,1.2810399969716824
25,1.0247455022739507,1.0838866221682402,1.0279062472136145,0.19313512754675483,1.0015460037545068,1.8195339872136742
26,1.1007628433689147,1.0992161807170127,1.0971420135662229,0.21008631446889026,0.9871834880045947,1.4836007773522062
27,1.1781274357575926,1.1160390079600282,1.1655315831088382,0.22413461046836514,0.9692670496452339,2.1977143242410966
28,1.2566529013605816,1.1341651803837558,1.2324432022689977,0.23769857614448625,0.9488644717629747,1.728453874453635
29,1.3361500654532268,1.1534976181021406,1.2977198068391942,0.24731279237746576,0.9277644218301642,2.587534121610283
30,1.4164274124040994,1.1736165444048474,1.3608154032522175,0.25448225194219987,0.9020891440269881,2.0466692996519757
31,1.497291547052929,1.1944443239693523,1.4216956250616566,0.25857500675856937,0.8794154594510927,3.031491511768608
32,1.5785476606164859,1.2152273821957782,1.4799774122233011,0.2526352772623418,0.8490855312718075,3.0314868733490257
33,1.66,1.235610487593655,1.5355959881451515,0.24754605971082597,0.8245312051917465,3.031485697545856
34,1.7414523393835137,1.2554243415631412,1.5885877300350093,0.23867969498549854,0.7961890569400181,3.0314801707031322
35,1.8227084529470705,1.274389017410471,1.6390270884722662,0.22652364930409238,0.7747330007814563,3.6530679333952607
36,1.9035725875959002,1.291848384550381,1.6870476887133203,0.20500787480943683,0.7493289415284549,3.6530648836763944
37,1.9838499345467726,1.307664688196718,1.732977933653726,0.19020714495373495,0.7426251832967187,1.0671825257140746e-6
38,2.063347098639418,1.322233475687715,1.7780343817698336,0.17642313193265513,0.7479063195542058,2.1345603674219303e-7
39,2.1418725642424072,1.3357299519584231,1.8224192379415782,0.16766030322405423,0.7547941074621379,8.024841907940758e-7
40,2.219237156631085,1.3480806724175973,1.8659468068896827,0.1492619395857247,0.7529414489399254,4.6786057762514615
41,2.2952544977260487,1.3587046339776263,1.9081441200840563,0.1326827116161142,0.7523368605037846,2.0262687196118484e-7
42,2.369741455094268,1.3682860773999845,1.9494793919921316,0.12461778573396524,0.7609103692050069,1.1295018681419955e-6
43,2.442518583131156,1.377088239580261,1.9900180073523557,0.11756247247985592,0.7685852849130024,1.7867961945417597e-7
44,2.513410555360748,1.3850521341795117,2.029592545251322,0.10502077654146659,0.7716618577146679,4.885911587882758
45,2.582246586812539,1.3916293520074632,2.0677844808612917,0.08618627540054016,0.7692847425516035,4.885913384533997
46,2.648860845457439,1.396779094848301,2.104512114817826,0.06829828754025852,0.7681855311418437,4.885912524572731
47,2.713092851711651,1.400736117283357,2.1398446680869156,0.05702269820768547,0.7725397687853209,1.8788942061620862e-7
48,2.7747878650460507,1.404068639728821,2.174018559173913,0.04940350720823026,0.7801711886755563,5.263125445302233
49,2.8337972567696688,1.406517921131114,2.2068224253766715,0.03340833523798192,0.7816887321155453,4.735953503347476
50,2.8899788680892318,1.4080598035393035,2.2379465389609816,0.022177851121730638,0.7760035385768045,9.999999898109726
51,2.9431973525821435,1.4090207040452156,2.2671767290957088,0.014818314970114412,0.7745289458148948,1.442572879080731e-7
52,2.9933245022578703,1.4096970183107023,2.2949293155999713,0.012254679295752831,0.7859410068239228,8.761569200553048e-7
53,3.0402395564222253,1.4101848354655193,2.3211866047308956,0.008598562527496611,0.7923601998656421,1.2512381507520575e-7
54,3.0838294926004517,1.4105225695137453,2.3458182872817925,0.0069786874582270795,0.8015603094479553,9.580497588779188e-7
55,3.123989298818269,1.4107549261963528,2.3687229180752154,0.0046323024170153845,0.8075475296081949,1.392734308583897e-7
56,3.1606222265849158,1.4109094470492214,2.3897916143815268,0.003867062435071826,0.815286702887256,1.12942318092057e-6
57,3.1936400239687357,1.4110129409174823,2.408928769087127,0.0024241905555999923,0.8203090432712072,1.6444780966400394e-7
58,3.222963148203814,1.4110810887203469,2.4260412746126736,0.002271788945297779,0.8266348764219041,1.4438667023184708e-6
59,3.2485209573154665,1.4111279744500254,2.4410478226434313,0.0014022960172758198,0.8304449340616514,1.7433066366929232e-7
60,3.2702518803029426,1.411160557270245,2.4538738175160173,0.0016350635724948883,0.8353481927817827,8.774333321896707e-7
61,3.2881035654693624,1.4111846544973536,2.464456679902883,0.0010490673755098388,0.837763284570646,1.8196389633521954e-6
62,3.3020330065415364,1.411202355391906,2.4727432668723193,0.001543592119843601,0.841335648211071,6.606905044088101e-7
63,3.3120066462758464,1.4112138023346112,2.4786909480087105,0.00043126731343026556,0.841244721890409,4.212029023425336
64,3.3180004573005863,1.4112144927020789,2.48226413033876,1.6594743816906824e-5,0.8416655856850297,0.14138831847184036
65,3.32,1.4112145463215766,2.48345684962803,0.0,0.841789448653038,3.6409741785938525
