t,x0,y0,z0,x1,y1,z1,x2,y2,z2
0.0,65000.0,1.0,-3.6249599e-9,-2916083.8,-2667168.2,-761024.9,264990340.0,-1327574100.0,-575567170.0
3600.1,57701.72,34217.105,-181.21515,-2892798.2,-2691041.8,-771842.75,266062900.0,-1327393200.0,-575488700.0
7200.0,38395.727,60664.66,-690.0518,-2869280.0,-2714700.0,-782599.06,267135250.0,-1327211400.0,-575409900.0
10800.0,12353.382,76027.66,-1450.108,-2845529.0,-2738143.0,-793294.06,268207490.0,-1327029000.0,-575330800.0
14400.0,-15591.172,80002.03,-2379.8765,-2821548.0,-2761369.0,-803926.56,269279580.0,-1326845800.0,-575251460.0
18000.0,-41861.7,73706.69,-3402.9856,-2797339.5,-2784376.0,-814495.8,270351550.0,-1326661900.0,-575171700.0
21600.1,-63902.25,58823.715,-4445.6514,-2772904.2,-2807163.0,-825001.25,271423400.0,-1326477300.0,-575091700.0
25200.1,-79888.19,37336.773,-5434.7017,-2748246.2,-2829727.2,-835441.6,272495040.0,-1326292000.0,-575011300.0
28800.1,-88640.59,11478.423,-6301.7495,-2723366.8,-2852067.5,-845816.44,273566560.0,-1326106000.0,-574930700.0
32400.1,-89702.6,-16348.554,-6994.189,-2698268.0,-2874182.5,-856124.8,274637950.0,-1325919200.0,-574849700.0
36000.1,-83447.89,-43807.684,-7490.2607,-2672952.2,-2896070.5,-866366.1,275709200.0,-1325731700.0,-574768450.0
39600.1,-71028.87,-68993.23,-7809.1846,-2647421.5,-2917730.2,-876539.56,276780260.0,-1325543400.0,-574686850.0
43200.1,-54075.895,-90730.52,-8007.578,-2621677.8,-2939159.8,-886644.3,277851200.0,-1325354500.0,-574605000.0
46800.1,-34274.656,-108624.62,-8163.005,-2595723.8,-2960357.8,-896679.75,278922000.0,-1325164900.0,-574522750.0
50400.1,-13043.172,-122867.1,-8354.991,-2569561.2,-2981322.8,-906645.06,279992640.0,-1324974600.0,-574440260.0
54000.1,8590.571,-133963.58,-8652.562,-2543192.8,-3002053.0,-916539.56,281063140.0,-1324783500.0,-574357440.0
57600.1,29959.889,-142517.3,-9109.893,-2516620.2,-3022547.5,-926362.5,282133470.0,-1324591600.0,-574274300.0
61200.1,50670.887,-149106.27,-9767.102,-2489846.2,-3042804.5,-936113.2,283203680.0,-1324399100.0,-574190850.0
64800.1,70513.37,-154232.22,-10653.004,-2462872.5,-3062822.8,-945790.8,284273730.0,-1324206000.0,-574107100.0
68400.1,89392.43,-158309.95,-11788.021,-2435702.0,-3082600.8,-955394.8,285343600.0,-1324011900.0,-574023000.0
72000.1,107282.19,-161674.31,-13186.583,-2408336.2,-3102137.0,-964924.3,286413340.0,-1323817300.0,-573938600.0
75600.1,124196.3,-164593.06,-14858.909,-2380778.2,-3121430.5,-974378.75,287482940.0,-1323621900.0,-573853900.0
79200.0,140169.53,-167279.86,-16812.225,-2353030.5,-3140478.8,-983757.1,288552350.0,-1323425800.0,-573768900.0
82800.0,155248.78,-169905.94,-19051.871,-2325094.2,-3159282.0,-993059.3,289621630.0,-1323228900.0,-573683600.0
86400.0,169484.12,-172608.98,-21581.592,-2296972.2,-3177838.2,-1002284.3,290690750.0,-1323031400.0,-573597950.0
90000.0,182926.97,-175500.66,-24404.18,-2268666.8,-3196146.2,-1011431.44,291759740.0,-1322833200.0,-573512000.0
93600.0,195627.66,-178672.2,-27521.723,-2240180.2,-3214204.5,-1020500.06,292828540.0,-1322634200.0,-573425700.0
97200.0,207634.4,-182198.86,-30935.836,-2211515.2,-3232011.8,-1029489.56,293897200.0,-1322434400.0,-573339200.0
